country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Algeria,0.20222533763354164,0.4238162975005081,0.27978173368357245,0.47331630888188025,0.2155573473090103,0.2647971336293904,0.17252008452404907,0.09997341226045951,0.26494967221381743,0.25416807738814995,0.06654909819639279,0.08300497193263832,0.06944889289650336,0.3025729555309065,0.2681214105793451,0.5753682542906471,0.220145644739489,0.21330887056220454,0.25531516005637206,0.3051627204030226,0.14522553191489365,0.39183784056508575,0.48729999999999996,0.24427713338023924,0.14500894504612918
Argentina,19.996239676113362,17.48158856482818,21.84840138739016,22.73404916090819,25.02323325748293,23.85926278290025,19.327126484292798,24.534813874648577,22.464057214870824,16.594655340877722,22.645351549633173,28.308903713892715,29.074166814394612,25.476872239239075,22.07796975552628,24.55026017191977,30.485043824701197,24.420032256219613,22.278823441328615,25.796693956509465,26.527814109223645,33.00693412322274,30.755171606864273,32.777114754098356,34.94166956521739
Australia,16.030249110320284,17.586330165844917,17.02524548494983,18.09256624075319,17.34967094255438,16.81523626787892,17.208540337711074,18.701388652482265,18.036288840262582,18.707961792091144,18.518382134266343,18.264987465940056,19.063265232974906,19.965785664335666,20.017167963386726,22.746000000000002,24.600505051842045,23.50263121919159,21.643889622127844,20.46299206400692,23.296031870416986,28.053769763287175,28.40771417384495,35.06981430219147,38.68551875881523
Belgium,0.5111731923116037,0.5547979330007127,0.6091499693940012,0.5556904276985745,0.6615079991837568,0.7010224719101125,0.6644183673469386,0.6255523362579064,0.7428844517184943,0.7112412535845964,0.8497707236842107,0.8316602161605766,0.8243669271904565,0.8282404191924382,0.9867739018087855,1.2251561257416468,1.5566914484064376,1.704508180088776,2.0243101813110185,2.08765117335352,2.622070299727521,3.1845700984780665,4.2960343975763235,4.434718749999999,5.201567680235409
Brazil,498.8225454545448,508.5789785847289,519.8887032258075,627.4729105263158,645.963115686273,522.499321917808,506.65064472049625,515.552907977208,523.2025966101698,420.8321341365463,427.11337621313004,293.41665556970116,300.94739999999985,342.06634392523324,341.9480042233358,396.727434782609,386.3812264150945,429.0395239185744,365.6605481881754,468.0291545454546,381.56435340314124,427.3858285714287,381.0947054131055,348.3943462891463,339.2641270430907
Canada,233.5884254187716,224.06375795749094,237.5673687548943,225.73420593153904,221.3493201313463,234.69431325981026,259.8310038763892,273.57882040382583,273.6508912604192,285.7675482607575,296.9526863163238,274.2348503336512,292.81207968087756,296.33762366114905,275.65231010830325,307.427314398422,301.88983944773173,330.89120160240367,355.92348139534886,357.82706060606057,347.00551984435805,357.0159722163309,372.5009060638583,384.91791184424005,381.9996448507663
Chile,12.614376083188906,20.921603961419216,34.79572270363953,32.95608811341328,27.378583365720946,27.12684885828198,21.802962326169407,26.68275962503302,17.9683486783716,13.82556501533,17.029301749271134,18.612579798863134,21.500908641975307,18.500022471910107,19.699854802259882,25.924551257588902,28.68999776536312,22.148011461318056,25.5963870967742,27.253953488372087,19.64415351170569,22.616582781456955,22.235130920535013,22.09510586040728,24.39589452567154
China,197.2093234577208,190.06724199681096,197.75409682115986,229.01113122022718,251.58064021486996,286.51975365763093,291.5454956943602,290.37404638137957,313.3979526970954,291.8387412385982,318.99902034548944,392.5315424481738,398.98006773488714,396.947236158192,468.89824550011934,523.4887662371749,571.0186478853218,599.4422071040831,712.5413981035738,763.582708838568,908.4949096217814,884.3750566526189,1118.0314747120683,1199.3190033940916,1361.1970230540082
Colombia,41.675928873835716,41.0019427631579,30.3603374401532,39.51063925233646,44.78053370525333,44.62990169491528,57.96126984126982,36.85746643159379,38.91865537190082,50.5429736842105,43.06305882352939,40.71172447388934,44.13366382978722,52.81716067892505,56.31580708446869,54.81153767019668,55.56746804123708,60.783329723876584,63.84129530956855,52.40265486725665,49.11868665710187,68.9544003629764,59.56330562347186,53.75246153846155,56.64424368932039
France,10.497376135040742,12.164633662675815,12.333760228898427,9.050383030160779,10.806359055118108,10.727270800142668,10.021466169617895,9.144799628252787,11.23770421721548,11.836443884892088,11.348641085091584,11.46498885754584,9.508585538039751,9.598553224155577,9.484098930967816,8.887245647795924,9.396045913161773,10.46908617179458,11.129584567257558,10.689086046241432,12.079515560238848,8.27546365399977,10.326501112952874,11.985668969711716,8.411844796325397
Germany,17.02255036420395,16.530274310972437,18.23115680819912,18.823380603900187,21.110854545454547,22.862344286622857,23.260726255562624,19.07105568396722,20.656506329113927,22.418256584536955,27.241540070883904,29.679247418346453,35.0054227158607,35.24589910538948,43.363300890868594,47.253218408911884,53.375448438568505,69.2835798191002,68.67461183431953,70.32939231324433,77.84872032027175,96.02087702257164,115.07770491803278,122.13057575757578,130.3873467614102
India,72.79134386174015,73.87638616401087,71.30087507886435,73.63498657384386,85.79942559025135,76.66961256949482,73.27098102813726,76.47621419385568,83.93628499399759,83.22660656124616,77.97395002893182,77.12924633022236,70.81060404821469,84.25112173812552,97.86570102899908,118.16688443271768,133.9451480475382,147.81509155101045,139.75097036770873,144.0823236423998,154.86165316817534,179.01472704402514,176.36176594280286,192.43409260372823,193.372455136541
Indonesia,14.240705361659082,15.765021852970792,19.818627731092437,17.24733644976315,13.342286578136115,15.765267416806317,15.676493476974073,11.085919250501892,19.592170200641107,16.76643129948766,18.672269443122328,22.986650478613836,20.908906525573194,20.566675034738306,20.21971170274337,21.108654705405716,19.197547503989064,21.98691699196326,22.845935994462394,23.89770715685145,31.144920380273323,24.444328110441994,22.780602884182063,25.465643851243442,26.637140921409216
Italy,30.604016332482686,39.78750654265554,39.27749762117918,37.534221626452194,39.24575186231699,35.00159289940827,38.66429654561559,37.86722771780065,38.48764514106583,41.14957378305864,40.51272615229195,42.33992517634989,39.02805476042315,37.24482528848514,45.177838871473355,39.36058437461793,40.06705935475987,36.99321436317629,43.551930592351916,50.0485481164841,55.68605948522402,59.112871643035845,65.86909748978402,79.30146401384083,88.46893138997513
