,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
25,14,14,14,14,Romania,17.74,25.68,21.59,23.02,23.66,28.17,25.68,30.66,35.31,36.07,28.46,27.7,29.32,24.05,29.23,34.02,29.28,25.95,26.52,27.28,33.88,26.57,25.74,34.81,42.03,42.85,46.2
26,56,56,56,56,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,52,52,52,52,South Africa,1.7,2.25,1.24,0.85,1.43,0.97,1.78,2.3,2.07,1.73,2.01,2.01,2.11,1.69,2.0,1.83,2.41,1.57,1.65,1.78,2.07,2.04,1.78,1.8,2.6,3.27,4.18
28,15,15,15,15,Spain,17.61,18.52,13.62,16.89,18.54,15.48,24.27,20.07,19.83,14.35,16.95,22.15,15.61,22.7,19.12,15.95,18.71,20.16,20.69,26.08,33.49,30.57,30.44,40.47,40.92,36.07,40.08
29,16,16,16,16,Sweden,51.18,44.46,52.51,53.11,43.17,47.6,38.42,48.29,49.2,48.28,57.26,51.57,48.51,43.41,44.97,51.32,49.65,52.06,54.35,58.46,55.33,55.98,59.1,54.07,55.87,63.46,57.22
30,44,44,44,44,Thailand,11.26,9.14,7.42,5.84,6.34,8.74,9.13,8.09,6.11,4.89,6.81,6.64,7.48,7.22,5.82,5.54,6.92,6.91,6.6,6.9,5.61,8.05,8.39,8.28,9.08,8.55,9.16
31,19,19,19,19,Turkey,40.37,37.85,39.63,46.18,39.22,41.57,42.94,38.91,38.33,29.98,24.94,19.84,26.25,25.29,30.73,24.54,25.25,19.03,17.35,19.58,26.38,25.33,27.23,28.82,20.89,32.05,32.53
32,23,23,23,23,Ukraine,3.59,4.28,3.2,4.89,6.07,5.23,4.83,5.64,9.21,8.43,6.68,7.06,5.65,5.22,6.54,6.74,6.76,5.39,6.14,6.98,7.1,5.74,5.91,8.12,6.02,5.13,6.54
33,57,57,57,57,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.27,0.26,0.23
34,17,17,17,17,United Kingdom,2.44,2.12,2.52,2.21,2.58,2.52,2.06,2.4,2.83,3.4,3.36,3.11,3.56,3.36,4.26,4.99,5.53,5.93,6.66,7.67,7.62,10.36,12.3,15.81,20.12,25.73,25.6
35,28,28,28,28,United States,11.96,11.33,10.48,11.0,10.31,11.39,12.2,11.59,10.22,9.63,8.81,7.42,9.2,9.49,9.22,9.12,9.79,8.91,9.53,10.78,10.61,12.69,12.41,13.03,13.36,13.58,15.42
36,24,24,24,24,Uzbekistan,11.8,11.13,12.34,14.97,14.97,13.04,14.37,12.54,12.54,12.55,12.54,12.55,12.55,15.43,18.02,17.54,17.99,13.07,23.0,18.68,20.98,19.54,21.35,21.33,21.35,21.02,20.97
37,0,0,0,0,World,19.74,19.66,19.59,20.21,19.96,20.28,19.97,19.84,19.49,19.11,18.79,18.31,18.23,17.82,18.23,18.36,18.5,18.23,18.89,19.65,19.91,20.26,21.2,21.97,22.66,23.33,24.38
