,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
26,26,Georgia,GE,Total,24 - Environmental technology,,,,,,,,,,,4.0,4.0,6.0,4.0,3.0,5.0,4.0,9.0,2.0,,2.0,2.0,2.0,2.0,1.0,6.0,3.0
27,27,German Democratic Republic,DD,Total,24 - Environmental technology,216.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,Germany,DE,Total,24 - Environmental technology,245.0,239.0,235.0,254.0,269.0,214.0,239.0,227.0,230.0,200.0,183.0,187.0,209.0,181.0,252.0,273.0,276.0,301.0,279.0,201.0,182.0,160.0,261.0,293.0,262.0,256.0,291.0
29,29,Greece,GR,Total,24 - Environmental technology,3.0,1.0,9.0,16.0,5.0,3.0,7.0,7.0,3.0,6.0,4.0,3.0,14.0,9.0,6.0,8.0,7.0,9.0,14.0,16.0,11.0,9.0,8.0,7.0,14.0,9.0,6.0
30,30,High-income,W1,Total,24 - Environmental technology,4281.0,4372.0,4863.0,4916.0,5360.0,5353.0,4859.0,5226.0,6135.0,6911.0,5838.0,5935.0,6432.0,6804.0,6957.0,7583.0,8358.0,8696.0,7928.0,7648.0,9053.0,9519.0,10360.0,10850.0,10471.0,9545.0,10496.0
31,31,Hungary,HU,Total,24 - Environmental technology,97.0,127.0,103.0,81.0,72.0,143.0,61.0,83.0,26.0,14.0,4.0,16.0,18.0,23.0,10.0,19.0,9.0,8.0,10.0,7.0,9.0,9.0,10.0,11.0,6.0,12.0,6.0
32,32,Iceland,IS,Total,24 - Environmental technology,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,,4.0,2.0,,,,,,,,1.0,1.0
33,33,Indonesia,ID,Total,24 - Environmental technology,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
34,34,Ireland,IE,Total,24 - Environmental technology,8.0,12.0,3.0,11.0,30.0,28.0,17.0,16.0,11.0,3.0,,,,,,,,,,,,,1.0,8.0,6.0,2.0,4.0
35,35,Italy,IT,Total,24 - Environmental technology,143.0,61.0,45.0,55.0,86.0,108.0,139.0,152.0,178.0,124.0,57.0,79.0,83.0,102.0,1.0,,,,,,,6.0,40.0,41.0,,,
