,1991_abatement,1992_abatement,1993_abatement,1994_abatement,1995_abatement,1996_abatement,1997_abatement,1998_abatement,1999_abatement,2000_abatement,2001_abatement,2002_abatement,2003_abatement,2004_abatement,2005_abatement,2006_abatement,2007_abatement,2008_abatement,2009_abatement,2010_abatement,2011_abatement,2012_abatement,2013_abatement,2014_abatement,label,1991_gdp_pc,1992_gdp_pc,1993_gdp_pc,1994_gdp_pc,1995_gdp_pc,1996_gdp_pc,1997_gdp_pc,1998_gdp_pc,1999_gdp_pc,2000_gdp_pc,2001_gdp_pc,2002_gdp_pc,2003_gdp_pc,2004_gdp_pc,2005_gdp_pc,2006_gdp_pc,2007_gdp_pc,2008_gdp_pc,2009_gdp_pc,2010_gdp_pc,2011_gdp_pc,2012_gdp_pc,2013_gdp_pc,2014_gdp_pc
Algeria,0.22159095986696645,-0.14403456381693563,0.19353457519830775,-0.2577589615728699,0.04923978632038009,-0.09227704910534132,-0.07254667226358955,0.1649762599533579,-0.010781594825667484,-0.18761897919175716,0.016455873736245533,-0.013556079036134969,0.23312406263440316,-0.03445154495156144,0.307246843711302,-0.3552226095511581,-0.006836774177284538,0.04200628949416765,0.0498475603466505,-0.15993718848812896,0.2466123086501921,0.09546215943491426,-0.24302286661976077,-0.09926818833411005,-0.14500894504612918,1721.57869577876,1766.05467841426,1797.52356051118,1499.97150457383,1444.90803609489,1596.02986731002,1612.00930288912,1588.48144916691,1581.00456398017,1757.01779715994,1732.85797888376,1774.0336730152,2094.33550572581,2598.90802346666,3100.12237758677,3464.61007870202,3935.18334285931,4905.25486576261,3868.83123040908,4463.39467488951,5432.41331978116,5565.13452104848,5471.12338878709,5466.42577841535
Argentina,-2.514651111285179,4.366812822561982,0.8856477735180306,2.2891840965747363,-1.1639704745826762,-4.532136298607451,5.207687390355776,-2.0707566597777536,-5.869401873993102,6.0506962087554506,5.663552164259539,0.7652631005018975,-3.5972945751555407,-3.3989024837127886,2.4722904163934913,5.93478365278143,-6.065011568481591,-2.141208814890998,3.517870515180853,0.7311201527141762,6.479120013999093,-2.2517625163584647,2.0219431472340865,2.1645548111190323,-34.94166956521739,5715.50439657303,6798.02676272931,6940.35035806909,7449.48038977242,7373.42824568235,7683.57406483774,8172.66432306173,8248.76198864344,7736.36962254054,7669.27391554066,7170.69467365192,2579.19316821209,3330.43700583548,4251.57434819873,5076.8838291729,5878.76102735208,7193.61763973522,8953.35927526277,8161.30696648652,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,12245.2564487696
Australia,1.5560810555246292,-0.5610846808950853,1.0673207558033617,-0.7428952981988104,-0.5344346746754596,0.3933040698321548,1.4928483147711908,-0.6650998122196796,0.6716729518285582,-0.18957965782480102,-0.2533946683262869,0.7982777670348504,0.902520431360756,0.051382299051063285,2.728832036613273,1.8545050518420467,-1.097873832650457,-1.8587415970637444,-1.1808975581209218,2.8330398064100635,4.7577378928701854,0.3539444105577765,6.66210012834652,3.61570445662376,-38.68551875881523,18824.2474038288,18569.7687940943,17633.3813804079,18045.4390604354,20319.6306283956,21861.32550987,23468.5968306374,21318.9641694318,20521.7775705928,21669.410913094,19482.5679026647,20074.2293129481,23437.3121454327,30401.5547862944,33961.6818019217,36019.203051188,40905.4708936845,49535.2578737769,42709.8033034787,51936.8887116461,62411.7854473961,67864.6898624672,67990.2900304798,62327.5559390333
Belgium,0.04362474068910893,0.05435203639328856,-0.05345954169542677,0.10581757148518234,0.039514472726355665,-0.03660410456317387,-0.038866031089032194,0.11733211546058786,-0.03164319813389782,0.13852947009961425,-0.01811050752363408,-0.00729328897012016,0.0038734920019817265,0.15853348261634737,0.23838222393286124,0.3315353226647908,0.14781673168233822,0.31980200122224267,0.06334099204250165,0.5344191263740008,0.5624997987505456,1.111464299098258,0.13868435242367472,0.76684893023541,-5.201567680235409,21154.2918385501,23497.7274067423,22403.2168180008,24338.1377018161,28565.9191516066,27701.903287059,25027.7445890682,25541.6747233656,25444.1392583071,23207.4059110078,23121.6011440246,25052.3393900855,30743.9025377208,35589.6891168402,36967.2591839688,38852.3729277437,44403.7668991523,48424.5755963147,44880.5730196227,44380.1766327308,47702.8118941685,44740.5832481477,46582.6695503412,47351.9741788818
Brazil,9.756433130184064,11.309724641078617,107.5842073005083,18.490205159957213,-123.46379376846505,-15.848677197311758,8.902263256711876,7.649688632961784,-102.37046247362355,6.281242076583737,-133.69672064342882,7.530744430298569,41.11894392523345,-0.11833970189746879,54.77943055927324,-10.346208367514464,42.658297503479844,-63.37897573039902,102.36860635727925,-86.46480114231338,45.82147516828746,-46.29112315832322,-32.70035912395912,-9.130219246055674,-336.2641270430907,3966.79548849162,2591.79711627806,2786.17135574477,3494.64054135109,4740.11981336276,5156.80907513759,5271.41222246603,5075.63121131187,3469.50223662228,3739.11613876518,3146.94890366357,2819.6481201182,3059.58650690802,3623.04991209299,4770.18384511293,5860.14582941752,7313.55777336115,8787.61065756604,8553.38136825695,11224.1540829355,13167.4728917533,12291.4668523291,12216.9044643396,12026.6193906313
Canada,-9.524667461280671,13.503610797403383,-11.833162823355252,-4.384885800192649,13.34499312846387,25.13669061657896,13.747816527436612,0.07207085659337054,12.116657000338307,11.185138055566313,-22.717835982672625,18.57722934722642,3.5255439802714363,-20.6853135528458,31.775004290118773,-5.537474950690296,29.001362154671938,25.032279792945246,1.903579210711655,-10.821540761702522,10.010452371972747,15.484933847527543,12.417005780381714,-2.9182669934737646,-375.9996448507663,21664.598643531,20771.2503529737,20017.4298480977,19859.2039778368,20577.4893858895,21183.2200827089,21770.1340814172,20887.8394667666,22167.2258498882,24124.169174631,23691.5947188738,24167.8043060561,28172.1488309084,31979.8719510723,36189.5883840265,40386.6994835116,44544.5268004039,46596.3359912609,40773.4543637445,47447.4760241936,52082.2107601003,52496.6948704709,52418.3150618347,50633.2088224323
Chile,8.307227878230313,13.874118742220318,-1.8396345902262539,-5.577504747692334,-0.2517345074389645,-5.323886532112578,4.879797298863618,-8.71441094666142,-4.142783663041602,3.2037367339411347,1.5832780495919963,2.888328843112177,-3.000886170065197,1.1998323303497678,6.224696455329028,2.7654465077742145,-6.541986304045071,3.448375635456152,1.6575663915978858,-7.609799976666395,2.972429269751256,-0.3814518609219384,-0.14002506012772997,2.3007886652642604,-24.39589452567154,2811.48158793236,3362.16930782652,3551.03018599296,4045.62142850684,5137.37507753084,5382.84651930588,5781.10342324142,5479.49806414126,4986.00741695219,5101.36847857517,4595.6663273571,4463.54586721356,4787.69953202446,6210.82832487165,7615.30467991411,9484.68122668526,10526.8774613085,10781.3660783703,10243.328236588,12860.1776447469,14705.6924209903,15431.9029324117,15941.3972192355,14794.315829612
China,-7.1420814609098215,7.686854824348899,31.25703439906735,22.56950899464283,34.939113442760885,5.025742036729298,-1.1714493129805987,23.02390631571575,-21.559211458497202,27.160279106891267,73.53252210268437,6.448525286713334,-2.0328315766951732,71.95100934192743,54.5905207370555,47.529881648146784,28.423559218761397,113.0991909994907,51.04131073499423,144.91220078321328,-24.119852969162594,233.6564180594496,81.2875286820231,161.87801965991684,-1359.1970230540082,333.142145400184,366.460692302073,377.389839479958,473.492278718042,609.656679202484,709.413755085039,781.744164341053,828.580479295681,873.28706172579,959.372483639691,1053.10824300452,1148.5082904417,1288.64325183381,1508.66809788266,1753.41782925823,2099.22943460447,2695.36591709669,3471.2480543115,3838.43397176904,4560.51258600929,5633.7957168394,6337.88332279255,7077.77076539558,7683.50261309118
Colombia,-0.6739861106778235,-10.6416053230047,9.150301812183262,5.269894452916866,-0.1506320103380432,13.331368146354535,-21.103803409676026,2.0611889403070265,11.624318312309683,-7.479914860681113,-2.351334349640041,3.4219393558978695,8.683496849137832,3.4986464055436386,-1.5042694142720094,0.7559303710403995,5.215861682639506,3.057965585691967,-11.4386404423119,-3.2839682101547822,19.835713705874532,-9.391094739504538,-5.810844085010324,2.8917821508588517,-51.64424368932039,1181.08164365074,1385.86647714037,1541.71236942529,2218.78470951979,2470.68362290375,2553.54969231571,2759.95274759156,2509.13963334121,2164.43292920418,2472.19783098297,2395.85655125171,2355.72585669892,2246.2574724306,2740.24944202769,3386.02560001811,3709.07877589912,4674.21961032951,5433.72045003263,5148.42211290856,6250.65504429614,7227.73967983349,7884.98442882865,8030.58603049039,7913.38343248643
France,1.6672575276350727,0.16912656622261224,-3.2833771987376483,1.755976024957329,-0.07908825497543859,-0.7058046305247725,-0.8766665413651094,2.0929045889626927,0.5987396676766075,-0.4878027998005017,0.11634777245425454,-1.956403319506089,0.08996768611582517,-0.11445429318776057,-0.5968532831718925,0.5088002653658492,1.0730402586328065,0.6604983954629784,-0.4404985210161261,1.3904295139974163,-3.804051906239078,2.051037458953102,1.6591678567588417,-3.573824173386317,-8.411844796325397,21675.0642485493,23813.7118417151,22380.1039619355,23496.5233222666,26890.2198804535,26871.8290189054,24228.9423508964,24974.2721990005,24673.1989691744,22364.0293943406,22433.5557141945,24177.3351674642,29568.385949668,33741.2651469175,34760.1877663866,36443.6234414411,41508.4326882318,45334.1109147277,41575.4161783031,40638.33400426,43790.7353990492,40874.715955798,42592.9515190701,43008.6525700318
