,Unnamed: 0,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
23,23,Ukraine,3.59,4.28,3.2,4.89,6.07,5.23,4.83,5.64,9.21,8.43,6.68,7.06,5.65,5.22,6.54,6.74,6.76,5.39,6.14,6.98,7.1,5.74,5.91,8.12,6.02,5.13,6.54
24,24,Uzbekistan,11.8,11.13,12.34,14.97,14.97,13.04,14.37,12.54,12.54,12.55,12.54,12.55,12.55,15.43,18.02,17.54,17.99,13.07,23.0,18.68,20.98,19.54,21.35,21.33,21.35,21.02,20.97
25,25,America,25.21,25.02,24.68,25.31,24.82,25.67,26.58,26.19,24.48,24.14,23.59,22.06,23.42,23.52,23.43,23.76,24.47,24.09,24.71,26.15,25.53,27.84,27.49,27.77,27.94,28.17,30.16
26,26,North America,18.53,18.06,17.47,17.85,17.22,18.1,19.07,18.41,16.64,16.3,15.55,14.12,15.75,15.73,15.4,15.48,15.93,15.35,16.05,17.35,16.7,18.96,18.88,19.68,19.85,20.13,22.01
27,27,Canada,62.39,61.42,61.69,61.73,60.41,61.01,63.11,62.36,60.41,61.19,60.61,58.04,59.89,58.92,58.45,59.44,59.44,60.06,61.3,62.71,61.45,62.28,62.73,63.02,62.81,63.16,66.38
28,28,United States,11.96,11.33,10.48,11.0,10.31,11.39,12.2,11.59,10.22,9.63,8.81,7.42,9.2,9.49,9.22,9.12,9.79,8.91,9.53,10.78,10.61,12.69,12.41,13.03,13.36,13.58,15.42
29,29,Latin America,66.06,66.13,66.38,67.76,66.69,66.41,66.15,65.06,62.74,61.79,61.72,58.35,58.91,57.81,58.05,58.96,59.33,58.73,57.86,58.36,57.47,58.45,55.81,54.06,53.81,52.95,55.41
30,30,Argentina,35.78,30.74,35.13,39.22,42.87,40.35,33.47,39.53,36.52,27.54,33.21,41.84,43.59,37.97,31.69,33.69,37.25,30.06,26.54,29.18,28.77,32.48,29.49,31.68,31.69,29.05,26.14
31,31,Brazil,94.5,94.63,94.42,95.25,95.41,94.16,93.56,92.98,92.92,90.04,89.49,84.29,85.74,87.16,86.03,87.12,86.75,88.21,84.27,89.0,84.72,87.12,82.45,76.69,73.08,73.86,81.19
32,32,Chile,53.84,70.97,82.69,81.66,74.27,72.41,60.45,62.13,48.17,38.03,48.55,54.26,55.45,50.16,46.9,53.88,55.25,44.16,45.75,48.83,40.2,39.6,36.45,35.67,41.18,43.08,39.08
33,33,Colombia,76.38,75.68,68.67,73.25,78.49,76.4,82.99,71.64,69.75,79.86,75.52,74.34,76.5,78.79,81.65,80.17,80.6,81.53,84.01,72.88,72.12,83.47,79.55,74.0,74.25,77.65,82.04
34,34,Mexico,24.69,22.39,25.66,25.4,19.02,23.65,24.66,19.96,17.59,20.91,19.8,17.11,15.06,12.13,14.45,15.18,15.32,14.07,17.54,12.95,16.6,14.89,13.79,13.3,17.54,15.17,14.74
35,35,Venezuela,62.34,70.33,70.09,68.43,72.01,70.05,71.24,73.36,71.6,75.16,73.75,67.07,64.82,65.84,71.1,73.28,73.9,72.72,72.79,71.89,67.49,70.93,67.41,67.83,68.26,60.95,54.04
36,36,Asia,17.49,16.69,15.56,15.86,14.92,15.26,14.18,14.11,14.53,13.68,13.24,14.11,13.31,13.03,13.5,13.55,13.83,13.53,14.84,14.98,15.76,15.3,17.0,17.63,18.98,20.08,21.02
37,37,China,20.41,18.47,17.58,18.13,18.09,19.21,17.55,17.51,18.06,16.68,16.64,18.96,17.62,15.04,16.22,16.18,15.59,15.26,17.74,17.86,18.83,16.95,20.12,20.45,22.79,24.51,25.75
38,38,India,24.49,22.81,20.75,19.56,21.22,17.26,15.77,16.02,16.7,15.26,13.59,13.21,12.06,13.47,14.48,16.62,17.54,17.86,16.51,15.66,16.04,17.32,15.73,16.85,15.41,14.75,14.95
39,39,Indonesia,20.92,20.56,23.84,19.78,15.66,16.46,15.53,10.34,15.77,14.12,15.96,17.47,14.95,13.64,13.61,13.61,12.26,12.9,13.32,13.23,15.85,11.99,11.24,12.34,11.44,10.97,10.89
40,40,Japan,12.16,12.86,11.04,12.62,8.93,10.41,10.1,10.94,10.98,10.17,10.07,9.94,9.64,10.98,10.7,9.2,10.23,9.01,9.37,9.73,11.2,12.17,11.88,12.78,14.45,16.93,17.44
41,41,Malaysia,17.33,16.6,14.87,14.03,16.69,13.69,10.09,6.69,8.0,11.54,10.06,9.93,7.14,6.44,7.09,6.28,7.17,6.66,7.63,7.01,5.99,6.71,7.38,8.58,9.71,10.36,11.37
42,42,South Korea,6.04,4.4,3.86,4.15,2.51,3.12,2.73,2.44,2.83,2.6,1.97,1.95,1.66,2.06,1.68,1.43,1.43,1.4,1.54,1.65,1.8,2.05,2.02,2.38,2.47,2.1,2.29
43,43,Taiwan,9.08,5.56,7.92,5.83,7.13,6.67,6.37,6.66,6.86,5.7,5.37,5.52,3.84,4.04,3.86,4.29,4.32,4.52,4.36,4.27,4.2,4.08,4.81,4.95,4.44,4.59,5.43
44,44,Thailand,11.26,9.14,7.42,5.84,6.34,8.74,9.13,8.09,6.11,4.89,6.81,6.64,7.48,7.22,5.82,5.54,6.92,6.91,6.6,6.9,5.61,8.05,8.39,8.28,9.08,8.55,9.16
45,45,Pacific,22.56,22.82,21.39,22.66,23.11,22.97,21.68,20.26,19.75,18.56,18.77,16.86,17.56,17.64,18.36,17.94,18.31,17.73,17.11,17.39,18.69,20.52,20.12,22.55,24.66,23.75,26.83
46,46,Australia,10.08,10.76,10.3,10.78,10.35,9.81,9.39,9.76,8.6,8.71,8.54,8.25,7.93,8.48,8.23,8.92,9.34,8.71,8.17,7.51,8.63,10.44,10.61,13.3,14.92,13.67,16.86
47,47,New Zealand,80.01,77.19,72.59,77.02,82.05,83.85,79.06,70.09,75.65,69.52,71.5,63.56,69.48,66.0,71.86,64.24,64.48,65.57,64.24,71.71,73.16,76.04,71.86,74.26,79.12,80.09,83.99
48,48,Africa,18.4,19.34,18.17,17.41,17.05,17.05,17.03,16.82,17.19,17.9,17.77,18.54,17.89,17.14,17.23,16.95,16.95,16.44,16.43,16.88,17.48,17.13,16.68,17.1,18.17,18.31,18.5
49,49,Algeria,0.78,1.58,1.02,1.71,0.78,0.92,0.62,0.33,0.85,0.76,0.2,0.24,0.19,0.83,0.75,1.53,0.58,0.57,0.66,0.75,0.36,0.9,1.0,0.51,0.28,0.23,0.27
50,50,Egypt,23.5,22.35,21.24,21.94,22.25,21.95,20.96,20.52,19.41,21.44,17.7,18.43,14.65,14.06,13.0,12.14,11.73,13.06,11.9,10.07,10.05,9.33,9.48,8.61,9.05,10.39,10.21
51,51,Nigeria,32.59,41.86,40.85,38.41,35.81,34.68,33.86,34.7,38.22,38.21,38.22,38.22,38.22,36.9,33.4,33.0,27.1,27.1,27.1,22.9,24.4,21.76,19.71,18.44,17.59,17.59,17.59
52,52,South Africa,1.7,2.25,1.24,0.85,1.43,0.97,1.78,2.3,2.07,1.73,2.01,2.01,2.11,1.69,2.0,1.83,2.41,1.57,1.65,1.78,2.07,2.04,1.78,1.8,2.6,3.27,4.18
53,53,Middle-East,4.88,4.56,4.87,4.46,3.46,3.22,3.1,2.84,2.65,1.95,1.71,1.91,2.22,2.8,2.77,4.28,4.23,3.83,1.53,1.63,2.03,2.2,2.29,2.5,2.06,2.04,2.36
54,54,Iran,10.29,11.0,13.88,12.89,9.09,8.58,8.13,7.09,6.8,4.42,3.04,3.91,5.73,7.23,6.39,9.08,9.54,8.89,2.42,3.37,4.16,5.12,4.99,5.71,5.2,6.03,7.17
55,55,Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.27,0.26,0.23
