country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,label
Algeria,0.22159095986696645,-0.14403456381693563,0.19353457519830775,-0.2577589615728699,0.04923978632038009,-0.09227704910534132,-0.07254667226358955,0.1649762599533579,-0.010781594825667484,-0.18761897919175716,0.016455873736245533,-0.013556079036134969,0.23312406263440316,-0.03445154495156144,0.307246843711302,-0.3552226095511581,-0.006836774177284538,0.04200628949416765,0.0498475603466505,-0.15993718848812896,0.2466123086501921,0.09546215943491426,-0.24302286661976077,-0.09926818833411005,1
Argentina,-2.514651111285179,4.366812822561982,0.8856477735180306,2.2891840965747363,-1.1639704745826762,-4.532136298607451,5.207687390355776,-2.0707566597777536,-5.869401873993102,6.0506962087554506,5.663552164259539,0.7652631005018975,-3.5972945751555407,-3.3989024837127886,2.4722904163934913,5.93478365278143,-6.065011568481591,-2.141208814890998,3.517870515180853,0.7311201527141762,6.479120013999093,-2.2517625163584647,2.0219431472340865,2.1645548111190323,1
Australia,1.5560810555246292,-0.5610846808950853,1.0673207558033617,-0.7428952981988104,-0.5344346746754596,0.3933040698321548,1.4928483147711908,-0.6650998122196796,0.6716729518285582,-0.18957965782480102,-0.2533946683262869,0.7982777670348504,0.902520431360756,0.051382299051063285,2.728832036613273,1.8545050518420467,-1.097873832650457,-1.8587415970637444,-1.1808975581209218,2.8330398064100635,4.7577378928701854,0.3539444105577765,6.66210012834652,3.61570445662376,1
Belgium,0.04362474068910893,0.05435203639328856,-0.05345954169542677,0.10581757148518234,0.039514472726355665,-0.03660410456317387,-0.038866031089032194,0.11733211546058786,-0.03164319813389782,0.13852947009961425,-0.01811050752363408,-0.00729328897012016,0.0038734920019817265,0.15853348261634737,0.23838222393286124,0.3315353226647908,0.14781673168233822,0.31980200122224267,0.06334099204250165,0.5344191263740008,0.5624997987505456,1.111464299098258,0.13868435242367472,0.76684893023541,1
Brazil,9.756433130184064,11.309724641078617,107.5842073005083,18.490205159957213,-123.46379376846505,-15.848677197311758,8.902263256711876,7.649688632961784,-102.37046247362355,6.281242076583737,-133.69672064342882,7.530744430298569,41.11894392523345,-0.11833970189746879,54.77943055927324,-10.346208367514464,42.658297503479844,-63.37897573039902,102.36860635727925,-86.46480114231338,45.82147516828746,-46.29112315832322,-32.70035912395912,-9.130219246055674,4
Canada,-9.524667461280671,13.503610797403383,-11.833162823355252,-4.384885800192649,13.34499312846387,25.13669061657896,13.747816527436612,0.07207085659337054,12.116657000338307,11.185138055566313,-22.717835982672625,18.57722934722642,3.5255439802714363,-20.6853135528458,31.775004290118773,-5.537474950690296,29.001362154671938,25.032279792945246,1.903579210711655,-10.821540761702522,10.010452371972747,15.484933847527543,12.417005780381714,-2.9182669934737646,5
Chile,8.307227878230313,13.874118742220318,-1.8396345902262539,-5.577504747692334,-0.2517345074389645,-5.323886532112578,4.879797298863618,-8.71441094666142,-4.142783663041602,3.2037367339411347,1.5832780495919963,2.888328843112177,-3.000886170065197,1.1998323303497678,6.224696455329028,2.7654465077742145,-6.541986304045071,3.448375635456152,1.6575663915978858,-7.609799976666395,2.972429269751256,-0.3814518609219384,-0.14002506012772997,2.3007886652642604,1
China,-7.1420814609098215,7.686854824348899,31.25703439906735,22.56950899464283,34.939113442760885,5.025742036729298,-1.1714493129805987,23.02390631571575,-21.559211458497202,27.160279106891267,73.53252210268437,6.448525286713334,-2.0328315766951732,71.95100934192743,54.5905207370555,47.529881648146784,28.423559218761397,113.0991909994907,51.04131073499423,144.91220078321328,-24.119852969162594,233.6564180594496,81.2875286820231,161.87801965991684,3
Colombia,-0.6739861106778235,-10.6416053230047,9.150301812183262,5.269894452916866,-0.1506320103380432,13.331368146354535,-21.103803409676026,2.0611889403070265,11.624318312309683,-7.479914860681113,-2.351334349640041,3.4219393558978695,8.683496849137832,3.4986464055436386,-1.5042694142720094,0.7559303710403995,5.215861682639506,3.057965585691967,-11.4386404423119,-3.2839682101547822,19.835713705874532,-9.391094739504538,-5.810844085010324,2.8917821508588517,5
France,1.6672575276350727,0.16912656622261224,-3.2833771987376483,1.755976024957329,-0.07908825497543859,-0.7058046305247725,-0.8766665413651094,2.0929045889626927,0.5987396676766075,-0.4878027998005017,0.11634777245425454,-1.956403319506089,0.08996768611582517,-0.11445429318776057,-0.5968532831718925,0.5088002653658492,1.0730402586328065,0.6604983954629784,-0.4404985210161261,1.3904295139974163,-3.804051906239078,2.051037458953102,1.6591678567588417,-3.573824173386317,1
Germany,-0.4922760532315138,1.7008824972266865,0.5922237957010665,2.28747394155436,1.7514897411683066,0.39838196893976985,-4.1896705715954035,1.5854506451467074,1.7617502554230207,4.823283486346959,2.437707347462542,5.326175297514254,0.24047638952877293,8.117401785479117,3.8899175180432906,6.122230029656613,15.9081313805317,-0.6089679847806622,1.654780478924792,7.5193280070274255,18.172156702299887,19.05682789546114,7.052870839543004,8.256771003834402,5
India,1.0850423022707218,-2.5755110851465304,2.33411149497951,12.164439016407485,-9.12981302075653,-3.3986315413575454,3.205233165718411,7.4600708001419065,-0.7096784327514314,-5.252656532314347,-0.844703698709452,-6.318642282007673,13.440517689910834,13.614579290873564,20.301183403718596,15.778263614820517,13.869943503472228,-8.064121183301694,4.331353274691082,10.779329525775523,24.153073875849742,-2.652961101222161,16.07232666092534,0.9383625328127323,5
