country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,label
Algeria,0.20222533763354164,0.4238162975005081,0.27978173368357245,0.4733163088818802,0.2155573473090103,0.2647971336293904,0.17252008452404907,0.09997341226045953,0.26494967221381743,0.25416807738814995,0.06654909819639279,0.08300497193263832,0.06944889289650336,0.3025729555309065,0.2681214105793451,0.5753682542906471,0.220145644739489,0.21330887056220446,0.2553151600563721,0.3051627204030226,0.14522553191489365,0.39183784056508575,0.4873,0.24427713338023924,0.14500894504612918,1.0
Argentina,19.99623967611336,17.48158856482818,21.84840138739016,22.734049160908192,25.02323325748293,23.859262782900252,19.3271264842928,24.534813874648577,22.464057214870824,16.594655340877722,22.645351549633173,28.30890371389271,29.07416681439461,25.476872239239068,22.07796975552628,24.55026017191977,30.4850438247012,24.42003225621961,22.278823441328612,25.796693956509465,26.52781410922364,33.006934123222734,30.75517160686427,32.777114754098356,34.94166956521739,1.0
Australia,16.030249110320284,17.586330165844913,17.025245484949828,18.09256624075319,17.34967094255438,16.81523626787892,17.208540337711074,18.701388652482265,18.036288840262586,18.707961792091144,18.518382134266343,18.264987465940056,19.063265232974906,19.965785664335662,20.017167963386726,22.746,24.600505051842045,23.50263121919159,21.643889622127844,20.462992064006922,23.296031870416986,28.05376976328717,28.407714173844948,35.06981430219147,38.68551875881523,1.0
Belgium,0.5111731923116037,0.5547979330007127,0.6091499693940012,0.5556904276985745,0.6615079991837568,0.7010224719101125,0.6644183673469386,0.6255523362579064,0.7428844517184943,0.7112412535845964,0.8497707236842107,0.8316602161605766,0.8243669271904565,0.8282404191924382,0.9867739018087855,1.2251561257416468,1.5566914484064376,1.7045081800887758,2.0243101813110185,2.08765117335352,2.622070299727521,3.1845700984780665,4.296034397576324,4.434718749999999,5.201567680235409,1.0
Brazil,498.8225454545448,508.5789785847289,519.8887032258075,627.4729105263158,645.963115686273,522.499321917808,506.6506447204962,515.5529079772081,523.2025966101698,420.8321341365463,427.11337621313004,293.4166555697012,300.9473999999998,342.06634392523324,341.9480042233358,396.727434782609,386.38122641509455,429.0395239185744,365.66054818817537,468.0291545454546,381.56435340314124,427.3858285714287,381.0947054131055,348.39434628914637,339.2641270430907,4.0
Canada,233.58842541877158,224.0637579574909,237.5673687548943,225.73420593153904,221.3493201313464,234.69431325981026,259.8310038763892,273.57882040382583,273.6508912604192,285.7675482607575,296.9526863163238,274.2348503336512,292.8120796808776,296.33762366114905,275.65231010830325,307.427314398422,301.88983944773173,330.89120160240367,355.9234813953489,357.82706060606057,347.00551984435805,357.0159722163308,372.50090606385834,384.91791184424005,381.9996448507663,5.0
Chile,12.614376083188903,20.921603961419216,34.795722703639534,32.95608811341328,27.378583365720946,27.12684885828198,21.802962326169403,26.68275962503302,17.9683486783716,13.82556501533,17.029301749271134,18.61257979886313,21.500908641975307,18.50002247191011,19.69985480225988,25.924551257588906,28.68999776536312,22.14801146131805,25.5963870967742,27.253953488372087,19.644153511705692,22.61658278145695,22.23513092053501,22.09510586040728,24.39589452567154,1.0
China,197.20932345772079,190.06724199681096,197.75409682115986,229.0111312202272,251.58064021487004,286.51975365763093,291.5454956943602,290.3740463813796,313.3979526970954,291.8387412385982,318.99902034548944,392.5315424481738,398.98006773488714,396.94723615819197,468.8982455001194,523.4887662371749,571.0186478853217,599.4422071040831,712.5413981035738,763.582708838568,908.4949096217813,884.3750566526187,1118.0314747120683,1199.3190033940914,1361.1970230540082,3.0
Colombia,41.67592887383572,41.0019427631579,30.3603374401532,39.51063925233646,44.780533705253326,44.62990169491528,57.96126984126982,36.85746643159379,38.91865537190082,50.5429736842105,43.06305882352939,40.71172447388935,44.13366382978722,52.81716067892505,56.31580708446869,54.81153767019668,55.56746804123708,60.783329723876584,63.84129530956855,52.40265486725665,49.11868665710187,68.9544003629764,59.56330562347186,53.75246153846154,56.64424368932039,5.0
France,10.497376135040742,12.164633662675815,12.333760228898427,9.050383030160779,10.806359055118108,10.72727080014267,10.021466169617897,9.144799628252787,11.23770421721548,11.836443884892088,11.348641085091586,11.46498885754584,9.508585538039751,9.598553224155577,9.484098930967816,8.887245647795924,9.396045913161773,10.46908617179458,11.129584567257558,10.689086046241432,12.079515560238848,8.27546365399977,10.326501112952872,11.985668969711714,8.411844796325397,1.0
